id,param,val1
49,education,среднее специальное
50,age,18
50,gender,ж
50,RegionBorn,Восточнее Урала
50,RegionLife,Восточнее Урала
50,education,студент
51,age,20
51,gender,ж
51,RegionBorn,Восточнее Урала
51,RegionLife,Восточнее Урала
51,education,студент
52,age,15
52,gender,ж
52,RegionBorn,Восточнее Урала
52,RegionLife,Восточнее Урала
52,education,среднее
53,age,18
53,gender,ж
53,RegionBorn,Западнее Урала
53,RegionLife,Западнее Урала
53,education,студент
54,age,19
54,gender,ж
54,RegionBorn,Западнее Урала
54,RegionLife,Западнее Урала
54,education,студент
55,age,21
55,gender,ж
55,RegionBorn,Западнее Урала
55,RegionLife,Западнее Урала
55,education,студент
56,age,21
56,gender,ж
56,RegionBorn,Западнее Урала
56,RegionLife,Западнее Урала
56,education,студент
57,age,20
57,gender,ж
57,RegionBorn,Восточнее Урала
57,RegionLife,Восточнее Урала
57,education,студент
58,age,19
58,gender,ж
58,RegionBorn,Западнее Урала
58,RegionLife,Западнее Урала
58,education,студент
59,age,15
59,gender,ж
59,RegionBorn,Москва и Московская область
59,RegionLife,Москва и Московская область
59,education,среднее
60,age,27
60,gender,м
60,RegionBorn,Москва и Московская область
60,RegionLife,Западнее Урала
60,education,высшее
61,age,18
61,gender,ж
61,RegionBorn,Санкт-Петербург и Ленинградская область
61,RegionLife,Санкт-Петербург и Ленинградская область
61,education,студент
62,age,24
62,gender,ж
62,RegionBorn,Восточнее Урала
62,RegionLife,Восточнее Урала
62,education,студент
63,age,31
63,gender,ж
63,RegionBorn,Восточнее Урала
63,RegionLife,Восточнее Урала
63,education,высшее
64,age,49
64,gender,ж
64,RegionBorn,Санкт-Петербург и Ленинградская область
64,RegionLife,Санкт-Петербург и Ленинградская область
64,education,высшее
65,age,17
65,gender,ж
65,RegionBorn,Западнее Урала
65,RegionLife,Западнее Урала
65,education,студент
66,age,18
66,gender,ж
66,RegionBorn,Западнее Урала
66,RegionLife,Западнее Урала
66,education,студент
67,age,19
67,gender,ж
67,RegionBorn,Восточнее Урала
67,RegionLife,Западнее Урала
67,education,студент
68,age,19
68,gender,м
68,RegionBorn,Западнее Урала
68,RegionLife,Западнее Урала
68,education,студент
69,age,19
69,gender,ж
69,RegionBorn,Западнее Урала
69,RegionLife,Западнее Урала
69,education,студент
70,age,18
70,gender,м
70,RegionBorn,Западнее Урала
70,RegionLife,Западнее Урала
70,education,студент
71,age,29
71,gender,ж
71,RegionBorn,Восточнее Урала
71,RegionLife,Восточнее Урала
71,education,студент
72,age,20
72,gender,ж
72,RegionBorn,Москва и Московская область
72,RegionLife,Москва и Московская область
72,education,студент
73,age,17
73,gender,ж
73,RegionBorn,Москва и Московская область
73,RegionLife,Москва и Московская область
73,education,студент
74,age,16
74,gender,ж
74,RegionBorn,Восточнее Урала
74,RegionLife,Восточнее Урала
74,education,среднее
75,age,18
75,gender,ж
75,RegionBorn,Москва и Московская область
75,RegionLife,Москва и Московская область
75,education,студент
76,age,22
76,gender,м
76,RegionBorn,Москва и Московская область
76,RegionLife,Москва и Московская область
76,education,высшее
77,age,19
77,gender,ж
77,RegionBorn,Восточнее Урала
77,RegionLife,Восточнее Урала
77,education,студент
78,age,17
78,gender,ж
78,RegionBorn,Санкт-Петербург и Ленинградская область
78,RegionLife,Санкт-Петербург и Ленинградская область
78,education,среднее
79,age,20
79,gender,ж
79,RegionBorn,Западнее Урала
79,RegionLife,Западнее Урала
79,education,студент
80,age,21
80,gender,м
80,RegionBorn,Западнее Урала
80,RegionLife,Западнее Урала
80,education,студент
81,age,43
81,gender,ж
81,RegionBorn,Западнее Урала
81,RegionLife,Западнее Урала
81,education,высшее
82,age,42
82,gender,ж
82,RegionBorn,Западнее Урала
82,RegionLife,Западнее Урала
82,education,высшее
83,age,42
83,gender,ж
83,RegionBorn,Западнее Урала
83,RegionLife,Западнее Урала
83,education,высшее
84,age,42
84,gender,ж
84,RegionBorn,Западнее Урала
84,RegionLife,Западнее Урала
84,education,высшее
85,age,19
85,gender,ж
85,RegionBorn,Восточнее Урала
85,RegionLife,Восточнее Урала
85,education,студент
86,age,31
86,gender,ж
86,RegionBorn,Восточнее Урала
86,RegionLife,Восточнее Урала
86,education,высшее
87,age,19
87,gender,ж
87,RegionBorn,Западнее Урала
87,RegionLife,Западнее Урала
87,education,студент
88,age,16
88,gender,м
88,RegionBorn,Москва и Московская область
88,RegionLife,Москва и Московская область
88,education,среднее
89,age,32
89,gender,ж
89,RegionBorn,Москва и Московская область
89,RegionLife,Москва и Московская область
89,education,высшее
90,age,17
90,gender,ж
90,RegionBorn,Москва и Московская область
90,RegionLife,Москва и Московская область
90,education,студент
91,age,35
91,gender,ж
91,RegionBorn,Восточнее Урала
91,RegionLife,Восточнее Урала
91,education,среднее специальное
92,age,52
92,gender,ж
92,RegionBorn,Восточнее Урала
92,RegionLife,Восточнее Урала
92,education,высшее
93,age,19
93,gender,м
93,RegionBorn,Москва и Московская область
93,RegionLife,Москва и Московская область
93,education,студент
94,age,19
94,gender,ж
94,RegionBorn,Западнее Урала
94,RegionLife,Западнее Урала
94,education,студент
95,age,17
95,gender,ж
95,RegionBorn,Москва и Московская область
95,RegionLife,Москва и Московская область
95,education,студент
96,age,19
96,gender,ж
96,RegionBorn,Западнее Урала
96,RegionLife,Западнее Урала
96,education,студент
97,age,14
97,gender,ж
97,RegionBorn,Москва и Московская область
97,RegionLife,Москва и Московская область
97,education,среднее
98,age,16
98,gender,ж
98,RegionBorn,Москва и Московская область
98,RegionLife,Москва и Московская область
98,education,среднее
99,age,18
99,gender,ж
99,RegionBorn,Москва и Московская область
99,RegionLife,Москва и Московская область
99,education,студент
100,age,19
100,gender,ж
100,RegionBorn,Москва и Московская область
100,RegionLife,Москва и Московская область
100,education,студент
101,age,20
101,gender,ж
101,RegionBorn,Москва и Московская область
101,RegionLife,Москва и Московская область
101,education,студент
102,age,20
102,gender,ж
102,RegionBorn,Москва и Московская область
102,RegionLife,Москва и Московская область
102,education,студент
103,age,22
103,gender,м
103,RegionBorn,Москва и Московская область
103,RegionLife,Москва и Московская область
103,education,высшее
104,age,22
104,gender,м
104,RegionBorn,Москва и Московская область
104,RegionLife,Москва и Московская область
104,education,высшее
105,age,18
105,gender,ж
105,RegionBorn,Санкт-Петербург и Ленинградская область
105,RegionLife,Санкт-Петербург и Ленинградская область
105,education,студент
106,age,19
106,gender,ж
106,RegionBorn,Москва и Московская область
106,RegionLife,Москва и Московская область
106,education,студент
107,age,21
107,gender,ж
107,RegionBorn,Восточнее Урала
107,RegionLife,Восточнее Урала
107,education,студент
108,age,19
108,gender,ж
108,RegionBorn,Санкт-Петербург и Ленинградская область
108,RegionLife,Санкт-Петербург и Ленинградская область
108,education,студент
109,age,19
109,gender,м
109,RegionBorn,Западнее Урала
109,RegionLife,Западнее Урала
109,education,студент
110,age,18
110,gender,ж
110,RegionBorn,Западнее Урала
110,RegionLife,Западнее Урала
110,education,студент
111,age,44
111,gender,ж
111,RegionBorn,Восточнее Урала
111,RegionLife,Санкт-Петербург и Ленинградская область
111,education,высшее
112,age,22
112,gender,ж
112,RegionBorn,Москва и Московская область
112,RegionLife,Москва и Московская область
112,education,высшее
113,age,18
113,gender,ж
113,RegionBorn,Санкт-Петербург и Ленинградская область
113,RegionLife,Санкт-Петербург и Ленинградская область
113,education,среднее
114,age,21
114,gender,ж
114,RegionBorn,Санкт-Петербург и Ленинградская область
114,RegionLife,Санкт-Петербург и Ленинградская область
114,education,высшее
115,age,36
115,gender,ж
115,RegionBorn,Санкт-Петербург и Ленинградская область
115,RegionLife,Санкт-Петербург и Ленинградская область
115,education,высшее
116,age,44
116,gender,ж
116,RegionBorn,Западнее Урала
116,RegionLife,Санкт-Петербург и Ленинградская область
116,education,высшее
117,age,27
117,gender,ж
117,RegionBorn,Западнее Урала
117,RegionLife,Санкт-Петербург и Ленинградская область
117,education,высшее
118,age,15
118,gender,ж
118,RegionBorn,Западнее Урала
118,RegionLife,Москва и Московская область
118,education,среднее
119,age,21
119,gender,ж
119,RegionBorn,Западнее Урала
119,RegionLife,Западнее Урала
119,education,студент
120,age,21
120,gender,ж
120,RegionBorn,Восточнее Урала
120,RegionLife,Восточнее Урала
120,education,студент
121,age,22
121,gender,ж
121,RegionBorn,Восточнее Урала
121,RegionLife,Восточнее Урала
121,education,студент
122,age,19
122,gender,ж
122,RegionBorn,Москва и Московская область
122,RegionLife,Москва и Московская область
122,education,студент
123,age,19
123,gender,м
123,RegionBorn,Москва и Московская область
123,RegionLife,Москва и Московская область
123,education,студент
124,age,20
124,gender,м
124,RegionBorn,Москва и Московская область
124,RegionLife,Москва и Московская область
124,education,студент
125,age,19
125,gender,ж
125,RegionBorn,Западнее Урала
125,RegionLife,Западнее Урала
125,education,студент
126,age,18
126,gender,ж
126,RegionBorn,Санкт-Петербург и Ленинградская область
126,RegionLife,Санкт-Петербург и Ленинградская область
126,education,студент
127,age,19
127,gender,ж
127,RegionBorn,Западнее Урала
127,RegionLife,Москва и Московская область
127,education,студент
128,age,17
128,gender,ж
128,RegionBorn,Западнее Урала
128,RegionLife,Западнее Урала
128,education,среднее
129,age,16
129,gender,ж
129,RegionBorn,Западнее Урала
129,RegionLife,Западнее Урала
129,education,среднее
130,age,23
130,gender,ж
130,RegionBorn,Западнее Урала
130,RegionLife,Западнее Урала
130,education,высшее
131,age,30
131,gender,ж
131,RegionBorn,Западнее Урала
131,RegionLife,Западнее Урала
131,education,высшее
132,age,20
132,gender,ж
132,RegionBorn,Москва и Московская область
132,RegionLife,Москва и Московская область
132,education,студент
133,age,51
133,gender,ж
133,RegionBorn,Западнее Урала
133,RegionLife,Западнее Урала
133,education,среднее специальное
134,age,33
134,gender,ж
