Возраст;Место рождения;Место жительства;Пол;Зарядник;Пауэрбэнк;Шнур;Термокружка;Парка;Трансформер
18;Липецкая область;Липецкая область;женский;зарядник;пауэрбэнк;шнур юсб;термокружка;парка;планшет с клавиатурой
19;Санкт-Петербург;Санкт-Петербург;женский;переходник;аккумулятор;провод;термокружка;куртка;ноутбук
23;республика Татарстан;Московская область;мужской;штекер;аккумулятор;шнур юсб;термокружка;парка;планшет
20;Санкт-Петербург;Санкт-Петербург;мужской;зарядник;банка;зарядник;термокружка;парка;трансформер
